,No,Floor,업종,매장명칭,전화번호,매장위치(Map)
61,62,B1,서비스,크렌즈 갤러리,031-5173-0017,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487938.do
62,63,B1,패션의류,클라비스,031-5173-0473,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202006231725315303.do
63,64,B1,홈퍼니싱,템퍼,031-5173-0033,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487954.do
64,65,B1,레스토랑&카페,팥붕슈붕,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202112141542347063.do
65,66,B1,레스토랑&카페,퍼틴,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209071718488603.do
66,67,B1,패션잡화,폴더,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202001211532578308.do
67,68,B1,패션의류,플리츠미,031-5173-0022,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487943.do
68,69,B1,홈퍼니싱,하우스웨어,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251615408470.do
69,70,B1,홈퍼니싱,한샘,031-5173-0030,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487951.do
70,71,B1,대형마트,트레이더스 홀세일 클럽,031-5174-1234,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487922.do
71,72,1F,패션의류,COS,031-5173-1023,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498012.do
72,73,1F,패션의류,H&M,080-822-0220,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487992.do
73,74,1F,패션잡화,갤러리어클락,031-5173-1024,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498013.do
74,75,1F,레스토랑&카페,고디바,031-5173-1457,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201708081249497752.do
75,76,1F,레스토랑&카페,고청담,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212231736299963.do
76,77,1F,홈퍼니싱,까사미아,02-6338-5355,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201808230907129264.do
77,78,1F,패션의류,내셔날 지오그래픽,031-5173-1049,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498038.do
78,79,1F,홈퍼니싱,네스프레소,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201811260843426973.do
79,80,1F,패션의류,더 모먼트,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211161402179323.do
80,81,1F,레스토랑&카페,도레도레,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211161413019325.do
81,82,1F,패션잡화,디디에 두보,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211081329119263.do
82,83,1F,홈퍼니싱,디프레소,031-5173-2119,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201708081249497786.do
83,84,1F,라이프스타일,라미,031-5173-1035,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498024.do
84,85,1F,레스토랑&카페,라브리크,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212231738249964.do
85,86,1F,패션의류,라운지 비,031-5173-1054,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498043.do
86,87,1F,패션의류,라코스테,031-5173-1037,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498026.do
87,88,1F,패션의류,랩,031-5173-1056,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498045.do
88,89,1F,뷰티,러쉬,031-5173-1050,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498039.do
89,90,1F,패션의류,럭키슈에뜨,031-5173-1021,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498010.do
90,91,1F,패션의류,르쿠어 에쿠어,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202303200902310641.do
91,92,1F,레스토랑&카페,리피,031-5173-1486,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202011181416396101.do
92,93,1F,패션의류,마시모두띠,031-5173-1026,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498015.do
93,94,1F,라이프스타일,몰리스펫샵,031-5173-1001,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487990.do
94,95,1F,서비스,바른네일,031-5173-1014,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919488003.do
95,96,1F,패션의류,바버,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210051105158965.do
96,97,1F,레스토랑&카페,바비레드,031-5173-1491,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202108040951446804.do
97,98,1F,레스토랑&카페,배스킨라빈스,031-5173-1474,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201907091011416556.do
98,99,1F,패션의류,보브,031-5173-1044,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498033.do
99,100,1F,패션의류,비너스 플러스,031-5173-1470,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201811090927267285.do
100,101,1F,해외유명브랜드,비아델루쏘,031-5173-1482,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008140833465656.do
101,102,1F,패션의류,빈폴,031-5173-1490,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202103110946336407.do
102,103,1F,레스토랑&카페,사보텐,031-5173-1469,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201809171239597641.do
103,104,1F,뷰티,사봉,031-5173-1485,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202010301054026022.do
104,105,1F,레스토랑&카페,소이연남,031-5173-1067,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498056.do
105,106,1F,레스토랑&카페,쉐이크쉑,031-5173-1068,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498057.do
106,107,1F,패션잡화,슈스파,031-5173-0038,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202103260905016451.do
107,108,1F,레스토랑&카페,스타벅스 R,031-5173-1038,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498027.do
108,109,1F,서비스,스타필드 고양점 고객센터,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201803231409294260.do
109,110,1F,패션잡화,스톤헨지,031-5173-1019,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498008.do
110,111,1F,패션의류,스튜디오톰보이,031-5173-1018,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498007.do
111,112,1F,레스토랑&카페,시오,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212191410539863.do
112,113,1F,패션의류,신세계 팩토리 스토어,031-5173-1507,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201710301900578638.do
113,114,1F,패션의류,써스데이아일랜드,031-5173-1053,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498042.do
114,115,1F,레스토랑&카페,아티제,031-5173-1472,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201904111450400239.do
115,116,1F,패션잡화,앤드백,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209151652268684.do
116,117,1F,패션의류,앤아더스토리즈,031-5173-1420,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498009.do
117,118,1F,패션의류,에이랜드,02-3210-5842,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202302281337240506.do
118,119,1F,패션의류,에잇세컨즈,031-5173-1489,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202103110940026406.do
119,120,1F,패션잡화,에코,031-5173-1031,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498020.do
120,121,1F,패션의류,오니츠카타이거,031-5173-1048,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498037.do
121,122,1F,패션잡화,오야니,031-5173-1004,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487993.do
122,123,1F,레스토랑&카페,올댓커피,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202304040850450761.do
123,124,1F,패션의류,올세인츠,031-5173-1041,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498030.do
124,125,1F,홈퍼니싱,우드윅,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202108231353196852.do
125,126,1F,슈퍼마켓,이마트24,070-7707-2643,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919487991.do
126,127,1F,뷰티,이솝,031-5173-1025,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498014.do
127,128,1F,패션의류,자라,080-479-0880,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498022.do
128,129,1F,패션의류,자라 맨,080-479-0880,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498017.do
129,130,1F,홈퍼니싱,자라 홈,031-5173-1034,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498023.do
130,131,1F,패션잡화,제이에스티나,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202203081254587264.do
131,132,1F,레스토랑&카페,차알,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212231745089966.do
132,133,1F,패션잡화,찰스앤키스,031-5173-1477,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201911131043273154.do
133,134,1F,패션잡화,캠퍼,031-5173-1473,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201903211250126987.do
134,135,1F,패션잡화,쿠론,031-5173-1016,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498005.do
135,136,1F,패션잡화,쿠에른,031-5173-1483,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009180845535856.do
136,137,1F,뷰티,키엘,031-5173-1467,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201803091019197969.do
137,138,1F,레스토랑&카페,팥고당,031-5173-1030,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498019.do
138,139,1F,패션의류,폴스부띠끄,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009180842045855.do
139,140,1F,패션잡화,프랫안경원,031-5173-1029,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498018.do
140,141,1F,패션의류,플랫폼 플레이스,031-5173-1478,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202002061619519657.do
141,142,1F,패션잡화,하우스 오브 쌤소나이트,031-5173-1027,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498016.do
142,143,1F,패션의류,헤지스,031-5173-1036,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498025.do
143,144,1F,레스토랑&카페,훠궈야,031-5173-1475,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201909091241442486.do
144,145,2F,라이프스타일,BMW MINI,02-6932-4600,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498062.do
145,146,2F,패션의류,CK Jean,031-5173-2019,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498077.do
146,147,2F,패션의류,JD 스포츠,031-5173-2014,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201805231735060540.do
147,148,2F,홈퍼니싱,LX Z:IN 인테리어,031-5173-2451,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202012231351506162.do
148,149,2F,패션의류,MLB,031-5173-2030,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498088.do
149,150,2F,패션의류,NFL,031-5173-2242,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202006031721105241.do
150,151,2F,라이프스타일,건담베이스,031-5173-2479,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212271342420021.do
151,152,2F,패션의류,게스,031-5173-2020,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498078.do
152,153,2F,라이프스타일,골프존 마켓,031-5173-2002,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498060.do
153,154,2F,패션의류,나우,031-5173-2071,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498129.do
154,155,2F,패션의류,난닝구,031-5173-2050,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498108.do
155,156,2F,패션의류,널디,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208241347348444.do
156,157,2F,패션잡화,뉴에라,031-5173-2051,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498109.do
157,158,2F,패션잡화,닥터마틴,031-5173-2459,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202104291520156535.do
158,159,2F,뷰티,더바디샵,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202303160943240621.do
159,160,2F,레스토랑&카페,더치앤빈 커피,031-5173-2031,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498089.do
160,161,2F,패션의류,데카트론,1800-2025,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202007011855595361.do
161,162,2F,라이프스타일,디자인스킨,031-5173-2025,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498083.do
162,163,2F,패션의류,라이프워크,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202003110954425002.do
163,164,2F,패션잡화,락포트,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202002251519424963.do
164,165,2F,패션의류,로가디스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202106211359576666.do
165,166,2F,패션잡화,룩옵티칼,031-5173-2052,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498110.do
166,167,2F,패션의류,르피타,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202105311729496598.do
167,168,2F,패션의류,리,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202109141549586878.do
168,169,2F,패션의류,리바이스,031-5173-2027,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498085.do
169,170,2F,패션의류,마리떼 프랑소와 저버,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202108241447246857.do
170,171,2F,패션의류,마스터바니에디션,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202204080924437336.do
171,172,2F,패션의류,마인드브릿지워크스테이션,031-5173-2013,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498071.do
172,173,2F,서비스,마제스티,031-5173-2076,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498134.do
173,174,2F,패션의류,말본,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202204080929127337.do
174,175,2F,패션의류,맨온더분,031-5173-2073,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498131.do
175,176,2F,패션의류,멘큐 바이 지이크,031-5173-2008,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498066.do
176,177,2F,패션의류,모노앤밀키,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009251829455875.do
177,178,2F,라이프스타일,모던하우스,031-5173-2455,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202104291517436534.do
178,179,2F,패션잡화,모스바니,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202008261744245757.do
179,180,2F,패션잡화,바나나시스터즈,070-4400-3636,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202109151254526879.do
180,181,2F,패션의류,바인드,031-5173-2021,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498079.do
181,182,2F,패션의류,반스,031-5173-2057,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498115.do
182,183,2F,패션잡화,버윅1707,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202207151637068203.do
183,184,2F,레스토랑&카페,베질루르,031-5173-2018,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498076.do
184,185,2F,서비스,보그헤어&헤드스파,031-5173-2017,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498075.do
185,186,2F,라이프스타일,볼보,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212191129219843.do
186,187,2F,패션의류,브라운브레스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251617038472.do
187,188,2F,라이프스타일,세라젬,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202109280900276887.do
188,189,2F,패션잡화,솔트앤초콜릿,031-5173-2037,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498095.do
189,190,2F,패션의류,스케쳐스,031-5173-2070,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498128.do
190,191,2F,패션의류,시리즈,031-5173-2075,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498133.do
191,192,2F,패션의류,시스티나,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202108171338266844.do
192,193,2F,뷰티,시코르,031-5173-2120,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201708081249497787.do
193,194,2F,서비스,아이디헤어,031-5173-2032,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498090.do
194,195,2F,라이프스타일,아이코스,031-5173-2006,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498064.do
195,196,2F,패션의류,아크메드라비,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202209151435388683.do
196,197,2F,패션의류,알 지오지아,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251614068469.do
197,198,2F,레스토랑&카페,앙트레,031-5173-2450,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202011181751066103.do
198,199,2F,패션잡화,어프어프,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202009240837485864.do
199,200,2F,패션의류,에블린,031-5173-2035,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498093.do
200,201,2F,패션잡화,오렌즈,031-5173-2059,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498117.do
201,202,2F,패션의류,와릿이즌,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202206101539027863.do
202,203,2F,패션의류,원더플레이스,031-5173-2028,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498086.do
203,204,2F,패션의류,육육걸즈,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202101201416516244.do
204,205,2F,패션잡화,인케이스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202201061102147093.do
205,206,2F,라이프스타일,일렉트로마트,031-5173-2094,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498153.do
206,207,2F,패션의류,자라,080-479-0880,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498104.do
207,208,2F,패션의류,지오다노,031-5173-2036,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498094.do
208,209,2F,패션의류,캉골,031-5173-2062,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498120.do
209,210,2F,패션의류,커버낫,031-5173-2060,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498118.do
210,211,2F,패션잡화,컨버스,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251106358463.do
211,212,2F,패션의류,컬럼비아유니버시티,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202211161407399324.do
212,213,2F,패션의류,컴젠,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202212291412440081.do
213,214,2F,패션의류,코데즈 컴바인,031-5173-2425,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201812041517393938.do
214,215,2F,패션의류,코데즈컴바인 이너웨어,031-5173-2053,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201907251317582521.do
215,216,2F,패션의류,키르시,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202210051518568966.do
216,217,2F,패션의류,탑텐,031-5173-2023,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201707171919498081.do
217,218,2F,패션의류,테일러메이드,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202204080933087338.do
218,219,2F,패션의류,티리버럴,031-5173-2474,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202208251616228471.do
219,220,2F,패션의류,팀버랜드,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN201912051440160958.do
220,221,2F,패션의류,파리게이츠,,https://starfield.co.kr/goyang/tenant/tenantDetail/TN202204080908267335.do
