,No,층,업종,이름,전화번호
40,41,B1,패션의류,스파오,031-5173-0045
41,42,B1,홈퍼니싱,슬로우,
42,43,B1,패션잡화,아프리카 안경원,031-5173-0016
43,44,B1,패션의류,안다르,
44,45,B1,홈퍼니싱,양키캔들,031-5173-0047
45,46,B1,홈퍼니싱,에이스침대,031-5173-0031
46,47,B1,패션의류,엠플레이그라운드,031-5173-0463
47,48,B1,레스토랑&카페,연남토마,031-5173-0066
48,49,B1,홈퍼니싱,오덴세 다이네트,031-5173-0468
49,50,B1,레스토랑&카페,오슬로,031-5173-0069
50,51,B1,뷰티,올리브영,031-5173-0474
51,52,B1,패션의류,유니클로,031-5173-0025
52,53,B1,레스토랑&카페,유브유부,
53,54,B1,홈퍼니싱,이브자리 코디센,031-5173-0028
54,55,B1,패션의류,이새,031-5173-0021
55,56,B1,레스토랑&카페,이천가든,
56,57,B1,홈퍼니싱,일룸,031-5173-0026
57,58,B1,홈퍼니싱,자주,031-5173-0035
58,59,B1,레스토랑&카페,정데판,
59,60,B1,패션의류,지스바이,031-5173-0043
60,61,B1,레스토랑&카페,직화한상,
61,62,B1,서비스,크렌즈 갤러리,031-5173-0017
62,63,B1,패션의류,클라비스,031-5173-0473
63,64,B1,홈퍼니싱,템퍼,031-5173-0033
64,65,B1,레스토랑&카페,팥붕슈붕,
65,66,B1,레스토랑&카페,퍼틴,
66,67,B1,패션잡화,폴더,
67,68,B1,패션의류,플리츠미,031-5173-0022
68,69,B1,홈퍼니싱,하우스웨어,
69,70,B1,홈퍼니싱,한샘,031-5173-0030
70,71,B1,대형마트,트레이더스 홀세일 클럽,031-5174-1234
71,72,1F,패션의류,COS,031-5173-1023
72,73,1F,패션의류,H&M,080-822-0220
73,74,1F,패션잡화,갤러리어클락,031-5173-1024
74,75,1F,레스토랑&카페,고디바,031-5173-1457
75,76,1F,레스토랑&카페,고청담,
76,77,1F,홈퍼니싱,까사미아,02-6338-5355
77,78,1F,패션의류,내셔날 지오그래픽,031-5173-1049
78,79,1F,홈퍼니싱,네스프레소,
79,80,1F,패션의류,더 모먼트,
80,81,1F,레스토랑&카페,도레도레,
81,82,1F,패션잡화,디디에 두보,
82,83,1F,홈퍼니싱,디프레소,031-5173-2119
83,84,1F,라이프스타일,라미,031-5173-1035
84,85,1F,레스토랑&카페,라브리크,
85,86,1F,패션의류,라운지 비,031-5173-1054
86,87,1F,패션의류,라코스테,031-5173-1037
87,88,1F,패션의류,랩,031-5173-1056
88,89,1F,뷰티,러쉬,031-5173-1050
89,90,1F,패션의류,럭키슈에뜨,031-5173-1021
90,91,1F,패션의류,르쿠어 에쿠어,
91,92,1F,레스토랑&카페,리피,031-5173-1486
92,93,1F,패션의류,마시모두띠,031-5173-1026
93,94,1F,라이프스타일,몰리스펫샵,031-5173-1001
94,95,1F,서비스,바른네일,031-5173-1014
95,96,1F,패션의류,바버,
96,97,1F,레스토랑&카페,바비레드,031-5173-1491
97,98,1F,레스토랑&카페,배스킨라빈스,031-5173-1474
98,99,1F,패션의류,보브,031-5173-1044
99,100,1F,패션의류,비너스 플러스,031-5173-1470
100,101,1F,해외유명브랜드,비아델루쏘,031-5173-1482
101,102,1F,패션의류,빈폴,031-5173-1490
102,103,1F,레스토랑&카페,사보텐,031-5173-1469
103,104,1F,뷰티,사봉,031-5173-1485
104,105,1F,레스토랑&카페,소이연남,031-5173-1067
105,106,1F,레스토랑&카페,쉐이크쉑,031-5173-1068
106,107,1F,패션잡화,슈스파,031-5173-0038
107,108,1F,레스토랑&카페,스타벅스 R,031-5173-1038
108,109,1F,서비스,스타필드 고양점 고객센터,
109,110,1F,패션잡화,스톤헨지,031-5173-1019
110,111,1F,패션의류,스튜디오톰보이,031-5173-1018
111,112,1F,레스토랑&카페,시오,
112,113,1F,패션의류,신세계 팩토리 스토어,031-5173-1507
113,114,1F,패션의류,써스데이아일랜드,031-5173-1053
114,115,1F,레스토랑&카페,아티제,031-5173-1472
115,116,1F,패션잡화,앤드백,
116,117,1F,패션의류,앤아더스토리즈,031-5173-1420
117,118,1F,패션의류,에이랜드,02-3210-5842
118,119,1F,패션의류,에잇세컨즈,031-5173-1489
119,120,1F,패션잡화,에코,031-5173-1031
120,121,1F,패션의류,오니츠카타이거,031-5173-1048
121,122,1F,패션잡화,오야니,031-5173-1004
122,123,1F,레스토랑&카페,올댓커피,
123,124,1F,패션의류,올세인츠,031-5173-1041
124,125,1F,홈퍼니싱,우드윅,
125,126,1F,슈퍼마켓,이마트24,070-7707-2643
126,127,1F,뷰티,이솝,031-5173-1025
127,128,1F,패션의류,자라,080-479-0880
128,129,1F,패션의류,자라 맨,080-479-0880
129,130,1F,홈퍼니싱,자라 홈,031-5173-1034
130,131,1F,패션잡화,제이에스티나,
131,132,1F,레스토랑&카페,차알,
132,133,1F,패션잡화,찰스앤키스,031-5173-1477
133,134,1F,패션잡화,캠퍼,031-5173-1473
134,135,1F,패션잡화,쿠론,031-5173-1016
135,136,1F,패션잡화,쿠에른,031-5173-1483
136,137,1F,뷰티,키엘,031-5173-1467
137,138,1F,레스토랑&카페,팥고당,031-5173-1030
138,139,1F,패션의류,폴스부띠끄,
139,140,1F,패션잡화,프랫안경원,031-5173-1029
140,141,1F,패션의류,플랫폼 플레이스,031-5173-1478
141,142,1F,패션잡화,하우스 오브 쌤소나이트,031-5173-1027
142,143,1F,패션의류,헤지스,031-5173-1036
143,144,1F,레스토랑&카페,훠궈야,031-5173-1475
144,145,2F,라이프스타일,BMW MINI,02-6932-4600
145,146,2F,패션의류,CK Jean,031-5173-2019
146,147,2F,패션의류,JD 스포츠,031-5173-2014
147,148,2F,홈퍼니싱,LX Z:IN 인테리어,031-5173-2451
148,149,2F,패션의류,MLB,031-5173-2030
149,150,2F,패션의류,NFL,031-5173-2242
150,151,2F,라이프스타일,건담베이스,031-5173-2479
151,152,2F,패션의류,게스,031-5173-2020
152,153,2F,라이프스타일,골프존 마켓,031-5173-2002
153,154,2F,패션의류,나우,031-5173-2071
154,155,2F,패션의류,난닝구,031-5173-2050
155,156,2F,패션의류,널디,
156,157,2F,패션잡화,뉴에라,031-5173-2051
157,158,2F,패션잡화,닥터마틴,031-5173-2459
158,159,2F,뷰티,더바디샵,
159,160,2F,레스토랑&카페,더치앤빈 커피,031-5173-2031
160,161,2F,패션의류,데카트론,1800-2025
161,162,2F,라이프스타일,디자인스킨,031-5173-2025
162,163,2F,패션의류,라이프워크,
163,164,2F,패션잡화,락포트,
164,165,2F,패션의류,로가디스,
165,166,2F,패션잡화,룩옵티칼,031-5173-2052
166,167,2F,패션의류,르피타,
167,168,2F,패션의류,리,
168,169,2F,패션의류,리바이스,031-5173-2027
169,170,2F,패션의류,마리떼 프랑소와 저버,
170,171,2F,패션의류,마스터바니에디션,
171,172,2F,패션의류,마인드브릿지워크스테이션,031-5173-2013
172,173,2F,서비스,마제스티,031-5173-2076
173,174,2F,패션의류,말본,
174,175,2F,패션의류,맨온더분,031-5173-2073
175,176,2F,패션의류,멘큐 바이 지이크,031-5173-2008
176,177,2F,패션의류,모노앤밀키,
177,178,2F,라이프스타일,모던하우스,031-5173-2455
178,179,2F,패션잡화,모스바니,
179,180,2F,패션잡화,바나나시스터즈,070-4400-3636
180,181,2F,패션의류,바인드,031-5173-2021
181,182,2F,패션의류,반스,031-5173-2057
182,183,2F,패션잡화,버윅1707,
183,184,2F,레스토랑&카페,베질루르,031-5173-2018
184,185,2F,서비스,보그헤어&헤드스파,031-5173-2017
185,186,2F,라이프스타일,볼보,
186,187,2F,패션의류,브라운브레스,
187,188,2F,라이프스타일,세라젬,
188,189,2F,패션잡화,솔트앤초콜릿,031-5173-2037
189,190,2F,패션의류,스케쳐스,031-5173-2070
190,191,2F,패션의류,시리즈,031-5173-2075
191,192,2F,패션의류,시스티나,
192,193,2F,뷰티,시코르,031-5173-2120
193,194,2F,서비스,아이디헤어,031-5173-2032
194,195,2F,라이프스타일,아이코스,031-5173-2006
195,196,2F,패션의류,아크메드라비,
196,197,2F,패션의류,알 지오지아,
197,198,2F,레스토랑&카페,앙트레,031-5173-2450
198,199,2F,패션잡화,어프어프,
199,200,2F,패션의류,에블린,031-5173-2035
200,201,2F,패션잡화,오렌즈,031-5173-2059
201,202,2F,패션의류,와릿이즌,
202,203,2F,패션의류,원더플레이스,031-5173-2028
203,204,2F,패션의류,육육걸즈,
204,205,2F,패션잡화,인케이스,
205,206,2F,라이프스타일,일렉트로마트,031-5173-2094
206,207,2F,패션의류,자라,080-479-0880
207,208,2F,패션의류,지오다노,031-5173-2036
208,209,2F,패션의류,캉골,031-5173-2062
209,210,2F,패션의류,커버낫,031-5173-2060
210,211,2F,패션잡화,컨버스,
211,212,2F,패션의류,컬럼비아유니버시티,
212,213,2F,패션의류,컴젠,
213,214,2F,패션의류,코데즈 컴바인,031-5173-2425
214,215,2F,패션의류,코데즈컴바인 이너웨어,031-5173-2053
215,216,2F,패션의류,키르시,
216,217,2F,패션의류,탑텐,031-5173-2023
217,218,2F,패션의류,테일러메이드,
218,219,2F,패션의류,티리버럴,031-5173-2474
219,220,2F,패션의류,팀버랜드,
220,221,2F,패션의류,파리게이츠,
221,222,2F,엔터테인먼트,펀시티(볼링장),031-5173-2001
222,223,2F,라이프스타일,포토스타,
223,224,2F,패션의류,폴햄,031-5173-2061
224,225,2F,패션의류,프로젝트 M,031-5173-2010
225,226,2F,패션잡화,플래티슈랩,031-5173-2045
226,227,2F,패션의류,플랙,031-5173-2426
227,228,2F,패션의류,플레이블,
228,229,2F,라이프스타일,현대자동차,031-5173-2005
229,230,2F,패션의류,후아유,031-5173-2442
230,231,3F,패션잡화,ABC마트,031-5173-3032
231,232,3F,키즈,HAS,031-5173-3082
232,233,3F,키즈,MLB키즈,031-5173-3087
233,234,3F,키즈,갭키즈,031-5173-3421
234,235,3F,패션의류,골스튜디오,031-5173-3444
235,236,3F,레스토랑&카페,공차,031-5173-3012
236,237,3F,레스토랑&카페,광화문미진,031-5173-3056
237,238,3F,레스토랑&카페,교토가츠규,031-5173-3058
238,239,3F,패션의류,나이키,031-5173-3018
239,240,3F,레스토랑&카페,낙원타코,
240,241,3F,패션의류,노스페이스,031-5173-3069
241,242,3F,패션의류,뉴발란스,031-5173-3021
242,243,3F,키즈,뉴발란스키즈,031-5173-3086
243,244,3F,레스토랑&카페,더 봉반,031-5173-3038
244,245,3F,레스토랑&카페,더브라운,031-5173-3055
245,246,3F,패션의류,데상트,031-5173-3022
246,247,3F,패션의류,디스커버리,031-5173-3070
247,248,3F,키즈,디트로네,
248,249,3F,키즈,래핑차일드,031-5173-3090
249,250,3F,레스토랑&카페,로마로사,
250,251,3F,패션의류,르꼬끄 스포르티브,031-5173-3020
251,252,3F,패션의류,리복,031-5173-3077
252,253,3F,키즈,리틀킹,
253,254,3F,키즈,마이리틀타이거,
254,255,3F,레스토랑&카페,매직 플로우,031-5173-3457
255,256,3F,키즈,모이몰른,
256,257,3F,레스토랑&카페,밀본,
257,258,3F,레스토랑&카페,밀키,
258,259,3F,패션의류,배럴,031-5173-3455
259,260,3F,홈퍼니싱,버터,
260,261,3F,키즈,베네베네,031-5173-3007
261,262,3F,키즈,베몽,
262,263,3F,레스토랑&카페,부민옥,031-5173-1060
263,264,3F,레스토랑&카페,분식사우,
264,265,3F,키즈,블루독,
265,266,3F,레스토랑&카페,비와별 닭갈비,031-5173-3447
266,267,3F,패션의류,빌라봉,031-5173-3076
267,268,3F,레스토랑&카페,삼백집,031-5173-3046
268,269,3F,키즈,상상스케치,031-5173-3004
269,270,3F,레스토랑&카페,설어정,
270,271,3F,키즈,슈슈앤크라,031-5173-3432
271,272,3F,패션의류,스노우피크,
272,273,3F,레스토랑&카페,스무디킹,031-5173-3081
273,274,3F,레스토랑&카페,스시마고,
274,275,3F,레스토랑&카페,스타벅스 티바나,031-5173-3028
275,276,3F,키즈,스타필드 키즈,1833-9001
276,277,3F,레스토랑&카페,스폰티니,031-5173-3448
277,278,3F,키즈,슬코,031-5173-3428
278,279,3F,키즈,아가방갤러리,031-5173-3092
279,280,3F,키즈,아디다스 키즈,031-5173-3085
280,281,3F,패션의류,아디다스 퍼포먼스,031-5173-3023
281,282,3F,키즈,아람북스,031-5173-3433
282,283,3F,패션의류,아레나,031-5173-3434
283,284,3F,키즈,아이러브제이,031-5173-3009
284,285,3F,라이프스타일,아트박스,031-5173-3031
285,286,3F,키즈,알로봇,
286,287,3F,레스토랑&카페,앤티앤스,031-5173-3033
287,288,3F,라이프스타일,야마하,031-5173-3064
288,289,3F,패션의류,언더아머,031-5173-3079
289,290,3F,패션의류,엄브로,
290,291,3F,키즈,에뜨와,031-5173-3104
291,292,3F,레스토랑&카페,에베레스트,031-5173-3037
292,293,3F,패션의류,엑스퍼트,031-5173-3035
293,294,3F,라이프스타일,영풍문고,031-5173-3065
294,295,3F,키즈,오가닉맘,031-5173-3101
295,296,3F,레스토랑&카페,오장동 흥남집,031-5173-3040
296,297,3F,홈퍼니싱,요기보,031-5173-3083
297,298,3F,레스토랑&카페,용호낙지한상,
298,299,3F,패션의류,월터워커 시다스,
299,300,3F,레스토랑&카페,위니비니,031-5173-3093
300,301,3F,레스토랑&카페,의정부 평양면옥,
301,302,3F,슈퍼마켓,이마트24,070-7707-2760
302,303,3F,레스토랑&카페,제레미20,
303,304,3F,패션의류,젝시믹스,
304,305,3F,레스토랑&카페,젠틀소이,02-6925-2879
305,306,3F,라이프스타일,조이파티,031-5173-3013
306,307,3F,레스토랑&카페,중화개화,
307,308,3F,레스토랑&카페,카츠바,031-5173-3041
308,309,3F,키즈,캉골키즈,031-5173-3424
309,310,3F,키즈,캐리마켓,031-5173-3006
310,311,3F,패션잡화,캡텐,031-5173-3017
311,312,3F,패션의류,컬럼비아,031-5173-3068
312,313,3F,홈퍼니싱,컴프프로,
313,314,3F,라이프스타일,케이스갤러리,031-5173-3015
314,315,3F,패션의류,코닥,
315,316,3F,패션의류,코오롱스포츠,031-5173-3080
316,317,3F,레스토랑&카페,콘타이,031-5173-3429
317,318,3F,레스토랑&카페,콴안다오 익스프레스,
318,319,3F,레스토랑&카페,쿠크봉,
319,320,3F,서비스,클래스콕,
320,321,3F,레스토랑&카페,탄탄면공방,031-5173-3045
321,322,3F,키즈,탑텐키즈,031-5173-3091
322,323,3F,키즈,토박스,031-5173-3010
323,324,3F,키즈,토이킹덤,031-5173-3001
324,325,3F,레스토랑&카페,편대장 영화식당,031-5173-3044
325,326,3F,홈퍼니싱,포터리반 키즈,031-5173-3445
326,327,3F,라이프스타일,포토플러스,031-5173-3034
327,328,3F,레스토랑&카페,폴트버거,
328,329,3F,키즈,플레이키즈프로,031-5173-3107
329,330,3F,패션의류,피엘라벤,031-5173-3072
330,331,3F,레스토랑&카페,홍리 마라탕,
331,332,3F,패션잡화,화이텐,031-5173-3067
332,333,4F,서비스,가든 준오,031-5173-4425
333,334,4F,엔터테인먼트,데이골프,031-5173-4555
334,335,4F,레스토랑&카페,리플로우,031-5173-4432
335,336,4F,엔터테인먼트,메가박스,1544-0070
336,337,4F,레스토랑&카페,버거킹,070-7438-8238
337,338,4F,라이프스타일,뷰티 빌리지,031-5173-4007
338,339,4F,서비스,쉼스파 앤 부티크,031-5173-4427
339,340,4F,엔터테인먼트,스몹,1668-4832
340,341,4F,서비스,스타365연세이비인후과의원,
341,342,4F,서비스,스튜디오 후네일,031-5173-4426
342,343,4F,엔터테인먼트,아쿠아필드,031-5173-4500
343,344,4F,라이프스타일,책으로 가는 문,031-5173-4449
344,345,4F,키즈,챔피언1250X,031-5173-4448
345,346,4F,레스토랑&카페,폴바셋,031-5173-4002
346,347,4F,서비스,힐미 필라테스,031-5173-4430
